"","outlet","category","title","date","month","year","url"
"1","bild.de","Bildung","Übungen für das Herz - Trainieren Sie Ihre Gefäße mit Wechselduschen ",2016-02-10,2,2016,"http://www.bild.de/lifestyle/bestseller/buecher/bestseller-buecher-liste-belletristik-sachbuecher-44505210.bild.html"
"2","bild.de","Bildung","Union und SPD einig: Wir wollen Koalitionsverhandlungen",2013-10-17,10,2013,"http://www.bild.de/politik/inland/grosse-koalition/sondierung-von-spd-und-union-zurren-sie-heute-die-grosse-koalition-fest-33010818.bild.html"
"3","bild.de","Bildung","Vermögen offengelegt - Erzbistum München besitzt 6 Milliarden Euro",2016-06-20,6,2016,"http://www.bild.de/geld/wirtschaft/katholische-kirche/vermoegen-erzbistum-muenchen-46390802.bild.html"
"4","bild.de","Bildung","25 Jahre nach Wiedervereinigung - Regierung soll komplett nach Berlin umziehen",2015-10-11,10,2015,"http://www.bild.de/politik/inland/bundesregierung/soll-komplett-nach-berlin-ziehen-42970204.bild.html"
"5","bild.de","Bildung","Heute 1. Fraktionssitzung - Das sind die Köpfe der AfD in ’Schreck-Pomm’",2016-09-08,9,2016,"http://www.bild.de/politik/inland/politik-inland/afd-erste-fraktionssitzung-abgeordnete-47720534.bild.html"
"6","bild.de","Bildung","*** BILDplus Inhalt *** Hannelore Kraft - ’Zu Hause ist mein Mann der Chef’",2015-03-21,3,2015,"http://www.bild.de/bild-plus/politik/inland/hannelore-kraft/das-bild-von-politikern-hat-wenig-mit-der-realitaet-zu-tun-40253954.bild.html"
"7","bild.de","Bildung","Twitter-Pix der Woche - So süß ist der Promi-Nachwuchs",2014-02-16,2,2014,"http://www.bild.de/unterhaltung/leute/twitter/der-suesse-promi-nachwuchs-34683880.bild.html"
"8","bild.de","Bildung","Bildungskommission schlägt Alarm - 260 Millionen Kinder gehen nicht zur Schule",2016-09-19,9,2016,"http://www.bild.de/geld/wirtschaft/bildung/armutsbekaempfung-und-konflikt-loesung-durch-bildung-47893612.bild.html"
"9","bild.de","Bildung","Erstaunlicher Job-Boom - Melden sich Flüchtlinge  oft nicht arbeitslos?",2016-07-03,7,2016,"http://www.bild.de/bild-plus/geld/wirtschaft/wirtschaft/job-boom-trotz-fluechtlinskrise-46572670.bild.html"
"10","bild.de","Bildung","Waigel bei Jauch  -  ’Dann machen wireben Schwarz-Grün!’",2013-10-07,10,2013,"http://www.bild.de/politik/inland/guenther-jauch/koalitions-poker-bei-jauch-waigel-droht-dann-machen-wir-eben-schwarz-gruen-32702482.bild.html"
"11","bild.de","Bildung","Neuer Unicef-Report  -    So steht es  um unsere Kinder",2013-10-24,10,2013,"http://www.bild.de/politik/inland/kinderarmut/unicef-report-so-steht-es-um-unsere-kinder-33109506.bild.html"
"12","bild.de","Bildung","Kolumne von Roland Tichy - Das Weihnachts-Geschenk für die Welt",2015-12-19,12,2015,"http://www.bild.de/geld/wirtschaft/roland-tichy/das-weihnachtsgeschenk-fuer-die-welt-43864520.bild.html"
"13","bild.de","Bildung","*** BILDplus Inhalt *** Serie: Verlassene Orte  -    Teil 5: Mythos Atlantis - Faszination unter Wasser",2013-12-06,12,2013,"http://www.bild.de/bild-plus/reise/traumreisen/atlantis/mythos-faszination-versunkene-orte-atlantis-33675564.bild.html"
"14","bild.de","Bildung","*** BILDplus Inhalt *** Dr. Christine Theiss - Gesund und fit durch richtiges Essen!",2014-08-26,8,2014,"http://www.bild.de/bild-plus/ratgeber/gesundheit/fitness/dr-christine-theiss-serie-fit-mit-der-richtigen-ernaehrung-37388658.bild.html"
"15","bild.de","Bildung","Freitag wird’s dunkel - Schulhof-Verbot wegen Sonnenfinsternis!",2015-03-19,3,2015,"http://www.bild.de/news/inland/sonnenfinsternis/am-freitag-so-gehen-schulen-mit-der-gefahr-fuer-die-augen-der-kinder-um-40219796.bild.html"
"16","bild.de","Bildung","O'zapft is!  -  21 gute Gründe, eineg'scheidte Maß zu heben",2013-10-05,10,2013,"http://www.bild.de/ratgeber/2013/bier/wiesn-start-oktoberfest-21-gute-gruende-eine-mass-zu-heben-32255630.bild.html"
"17","bild.de","Bildung","Städteranking - München hängt Frankfurt ab",2015-10-22,10,2015,"http://www.bild.de/geld/wirtschaft/rangliste/muenchen-haengt-frankfurt-ab-43106408.bild.html"
"18","bild.de","Bildung","Experten fordern - Harte Strafen für Schulschwänzer!",2014-01-27,1,2014,"http://www.bild.de/news/inland/schulpflicht/experten-fordern-geldstrafe-fuer-schulschwaenzer-34423132.bild.html"
"19","bild.de","Bildung","Krankenversicherung  -    Schwarz-Rot plant  Gesundheits-Hammer!",2013-11-22,11,2013,"http://www.bild.de/politik/inland/politik-inland/schwarz-rot-friert-beitraege-zur-krankenversicherung-ein-33500940.bild.html"
"20","bild.de","Bildung","Bettina Wulff im Bellevue - ’First Lady, das liegt hinter mir’",2014-06-20,6,2014,"http://www.bild.de/politik/inland/bettina-wulff/bettina-wulff-im-schloss-bellevue-36477654.bild.html"
"21","bild.de","Bildung","Appell von Obama - US-Präsident warnt vor Verteufelung des Islams",2015-02-18,2,2015,"http://www.bild.de/politik/ausland/barack-obama/us-praesident-terrorismus-religion-39831766.bild.html"
"22","bild.de","Bildung","Erfolgreiche Senioren  -    Deutscher Alterspreis:  Das sind die Gewinner!",2013-11-14,11,2013,"http://www.bild.de/ratgeber/2013/greis/das-sind-die-gewinner-des-deutschen-alterspreises-33395560.bild.html"
"23","bild.de","Bildung","Flüchtlingskrise - ’Auch ein reiches Land kann nicht alle aufnehmen""",2015-10-15,10,2015,"http://www.bild.de/politik/inland/angela-merkel/merkel-und-seehofer-fernduell-zur-fluechtlingspolitk-43018246.bild.html"
"24","bild.de","Bildung","Kampf gegen ISIS - Unsere Militärhilfe für die Kurden läuft an",2014-09-04,9,2014,"http://www.bild.de/politik/inland/isis/kampf-gegen-isis-unsere-militaerhilfe-fuer-die-kurden-laeuft-an-37541724.bild.html"
"25","bild.de","Bildung","So ticken die Einwohner - Facebook-Profil Clausnitz!",2016-02-24,2,2016,"http://www.bild.de/news/inland/facebook/profil-clausnitz-was-die-dorfbewohner-posten-und-liken-44675272.bild.html"
"26","bild.de","Bildung","BILD erklärt Obamas Rede - Der Zauderer präsentiert sich als Zupacker",2015-01-21,1,2015,"http://www.bild.de/politik/ausland/barack-obama/zauderer-praesentiert-sich-als-zupacker-39430790.bild.html"
"27","bild.de","Bildung","Dieter Hildebrandt (â€ â€…86)  -    Die Enkel bemalten  seinen Sarg",2013-12-02,12,2013,"http://www.bild.de/unterhaltung/leute/dieter-hildebrandt/in-muenchen-beigesetzt-33633578.bild.html"
"28","bild.de","Bildung","US-Vorwahlen - Für wen wird dieser Tuesday super?",2016-03-01,3,2016,"http://www.bild.de/politik/ausland/us-wahlkampf/super-tuesday-us-wahl-2016-44747426.bild.html"
"29","bild.de","Bildung","Terror in Nizza - Drei Berliner unter den Toten von Nizza",2016-07-14,7,2016,"http://www.bild.de/news/ausland/nizza-terror/massenpanik-46816860.bild.html"
"30","bild.de","Bildung","Afrika-Reise der Kanzlerin - Merkel im ärmsten Land der Welt",2016-10-10,10,2016,"http://www.bild.de/bild-plus/politik/ausland/angela-merkel/so-kaempft-sie-gegen-die-fluechtlingskrise-48224142.bild.html"
"31","bild.de","Bildung","1 Jahr Rechtsanspruch - Die große Kita-Mängelliste",2014-08-01,8,2014,"http://www.bild.de/politik/inland/kindergaerten/ein-jahr-rechtsanspruch-auf-kita-platz-die-maengel-liste-36998872.bild.html"
"32","bild.de","Bildung","Mindestlohn  -  Kipping & Co.wollen Merkel linken",2013-09-25,9,2013,"http://www.bild.de/politik/inland/die-linke/linken-chefin-will-mit-spd-und-gruenen-mindestlohn-beschliessen-32551712.bild.html"
"33","bild.de","Bildung","*** BILDplus Inhalt *** Plagiatsvorwurf! - Hat ALFA-Chef Lucke bei AfD abgekupfert?",2015-07-22,7,2015,"http://www.bild.de/bild-plus/politik/inland/alternative-fuer-deutschland/wirft-alfa-chef-lucke-vor-abgeschrieben-zu-haben-41882968.bild.html"
"34","bild.de","Bildung","*** BILDplus Inhalt *** Das Jahr 2013  -    Diese Menschen  machten Schlagzeilen",2013-12-25,12,2013,"http://www.bild.de/bild-plus/politik/ausland/jahresrueckblick/diese-menschen-haben-2013-international-ueberrascht-33944226.bild.html"
"35","bild.de","Bildung","Spargel, Schoki & Co. - Jetzt essen wir die Lust herbei",2016-04-07,4,2016,"http://www.bild.de/unterhaltung/erotik/sex-und-liebe/essen-fuer-mehr-lust-45249920.bild.html"
"36","bild.de","Bildung","Google-Ventures-Chef - Künftig werden wir alle 500 Jahre alt!",2015-03-10,3,2015,"http://www.bild.de/ratgeber/gesundheit/alter/500-jahre-alt-werden-bill-maris-google-ventures-chef-40094416.bild.html"
"37","bild.de","Bildung","Nachwuchs immer teurer - Was kostet ein Kind?",2014-06-10,6,2014,"http://www.bild.de/ratgeber/kind-familie/erziehung/studie-eltern-muessen-in-deutschland-immer-mehr-fuer-nachwuchs-bezahlen-was-kostet-ein-kind-36324324.bild.html"
"38","bild.de","Bildung","Angie I. sucht...  -  Königinohne Knappen",2013-09-25,9,2013,"http://www.bild.de/politik/inland/koalitionsverhandlungen/die-schleppe-der-macht-32552034.bild.html"
"39","bild.de","Bildung","*** BILDplus Inhalt *** BILD-Interview - Warum ist die islamische Welt so in Aufruhr?",2016-01-16,1,2016,"http://www.bild.de/bild-plus/politik/ausland/sonderorganisationen-un/warum-ist-die-islamische-welt-so-in-aufruhr-44160636.bild.html"
"40","bild.de","Bildung","Diese Clintons - Hillary hat Ärger wegen ihrer Vortragshonorare",2014-06-28,6,2014,"http://www.bild.de/politik/ausland/bill-clinton/clintons-kassieren-exorbitante-redner-honorare-aerger-fuer-hillary-36585092.bild.html"
"41","bild.de","Bildung","Venezuela in der Krise - Weihnachtsessen fällt in diesem Jahr aus",2016-12-10,12,2016,"http://www.bild.de/politik/ausland/venezuela/wirtschaftskrise-kein-weihnachtsessen-49006888.bild.html"
"42","bild.de","Bildung","Gegen ISIS - Ägypten und Golfstaaten planen Militärbündnis",2014-11-03,11,2014,"http://www.bild.de/politik/ausland/isis/aegypten-und-golfstaaten-wollen-neues-militaerbuendnis-38417552.bild.html"
"43","bild.de","Bildung","BILD-Analyse - Kostet uns die Griechen-Wahl Milliarden?",2015-01-25,1,2015,"http://www.bild.de/politik/ausland/griechenland-krise/das-bedeutet-die-griechenland-wahl-fuer-europa-den-euro-und-deutschland-39491168.bild.html"
"44","bild.de","Bildung","Mexikanischer Richter - ’El Chapo’ kann an USA ausgeliefert werden",2016-05-09,5,2016,"http://www.bild.de/news/ausland/news/news-eilmeldung-chapo-45731622.bild.html"
"45","bild.de","Bildung","*** BILDplus Inhalt *** Hessen - Entführungs-Drama um Milliardärs-Sohn",2015-06-18,6,2015,"http://www.bild.de/bild-plus/regional/frankfurt/entfuehrung/milliardaerssohn-in-hessen-in-entfuehrt-41406038.bild.html"
"46","bild.de","Bildung","*** BILDplus Inhalt *** Flüchtlingskrise - Was macht die Kanzlerin falsch, Herr Seehofer?",2015-10-08,10,2015,"http://www.bild.de/bild-plus/politik/inland/horst-seehofer/bild-interview-mit-dem-csu-chef-42945562.bild.html"
"47","bild.de","Bildung","Unicef-Studie enthüllt - So geht es Deutschlands armen Kindern",2016-04-13,4,2016,"http://www.bild.de/politik/inland/kinderarmut/in-reichen-laendern-laut-unicef-gestiegen-deutschland-liegt-im-mittelfeld-45362812.bild.html"
"48","bild.de","Bildung","Til Schweiger - So hilft er zusammen mit ’Ein Herz für Kinder’",2016-11-16,11,2016,"http://www.bild.de/unterhaltung/leute/til-schweiger/so-hilft-til-schweiger-zusammen-mit-ein-herz-fuer-kinder-48792528.bild.html"
"49","bild.de","Bildung","Zum 4stehen - Was ist eigentlich diese ’Industrie 4.0’?",2015-03-18,3,2015,"http://www.bild.de/digital/multimedia/cebit/was-ist-eigentlich-industrie-40-40192614.bild.html"
"50","bild.de","Bildung","Außenministerium gibt ok - ’El Chapo’ wird an die USA ausgeliefert",2016-05-20,5,2016,"http://www.bild.de/news/ausland/elchapo/el-chapo-wird-ausgelifert-45897224.bild.html"
"51","bild.de","Bildung","Terrorverdacht - Anklage gegen Bonner Bombenleger",2014-03-14,3,2014,"http://www.bild.de/politik/inland/bonn/versuchter-bombenanschlag-anklage-gegen-vier-maenner-35072348.bild.html"
"52","bild.de","Bildung","Stasi-Unterlagen - Jeden Monat 5000 Anträge auf Akteneinsicht",2015-12-15,12,2015,"http://www.bild.de/politik/inland/stasi/jeden-monat-5000-antraege-auf-akteneinsicht-43805280.bild.html"
"53","bild.de","Bildung","Griechenland-Wahl - Es liegt eine Sensation in der Luft!",2015-01-25,1,2015,"http://www.bild.de/politik/ausland/griechenland-krise/linksrutsch-bei-der-wahl-in-griechenland-39488288.bild.html"
"54","bild.de","Bildung","Dralles DekolletÃ© juche? - Extraportion Pflege für große Brüste ",2016-06-01,6,2016,"http://www.bild.de/lifestyle/mode-beauty/dessous/sexy-dekollete-tipps-fuer-grosse-brueste-45983592.bild.html"
"55","bild.de","Bildung","Nach Schul-Massaker - Pakistan setzt Kopfgeld auf Terror-Teufel aus",2015-01-06,1,2015,"http://www.bild.de/politik/ausland/taliban/kopfgeld-auf-talibanchef-ausgesetzt-39213820.bild.html"
"56","bild.de","Bildung","*** BILDplus Inhalt *** Social-Web-Fallen - Erst gemobbt, dann tot?",2015-03-11,3,2015,"http://www.bild.de/bild-plus/politik/inland/cyber-mobbing/und-was-eltern-schule-und-kinder-dagegen-tun-koennen-40055794.bild.html"
"57","bild.de","Bildung","Muss Gutes teuer sein? - Die wichtigsten Lebensmittel im BILD-Check",2014-03-18,3,2014,"http://www.bild.de/ratgeber/gesundheit/lebensmittel/muss-gutes-essen-teuer-sein-35125576.bild.html"
"58","bild.de","Bildung","’Fußball-EM abschaffen’ - Beatrix von Storch fällt  â€‹auf ’Postillon’-Satire rein",2016-06-01,6,2016,"http://www.bild.de/regional/berlin/beatrix-von-storch/offenbar-auf-satire-reingefallen-46071286.bild.html"
"59","bild.de","Bildung","*** BILDplus Inhalt *** 4 Jahre nach Super-GAU - Report über die Atom-Hölle Fukushima",2015-09-16,9,2015,"http://www.bild.de/bild-plus/news/ausland/fukushima/japan-atomkraftwerk-dekontaminiertes-wasser-abgelassen-bild-report-ueber-die-atom-hoelle-42582592.bild.html"
"60","bild.de","Bildung","Ukraine-Ticker - Nato legt Zusammenarbeit mit Russland auf Eis",2014-04-01,4,2014,"http://www.bild.de/politik/ausland/ukraine/die-lage-in-russland-der-ukraine-auf-der-krim-im-live-ticker-35314764.bild.html"
"61","bild.de","Bildung","Ärger in Delmenhorst - Flüchtlinge ziehen in Oberschule",2016-01-24,1,2016,"http://www.bild.de/regional/bremen/strafanzeige/gegen-buergermeister-wegen-fluechtlingsplaenen-44283558.bild.html"
"62","bild.de","Bildung","Gekidnappten Mädchen droht Sex-Arbeit",2014-05-07,5,2014,"http://www.bild.de/politik/ausland/terrorismus/boko-haram-arbeitslager-missbrauch-das-droht-den-entfuehrten-maechen-jetzt-35845722.bild.html"
"63","bild.de","Bildung","140 000 Syrien-Tote - Friedengespräche in Genf gescheitert",2014-02-15,2,2014,"http://www.bild.de/politik/ausland/syrien-krise/friedensgespraeche-in-genf-gescheitert-140000-tote-im-buergerkrieg-34694232.bild.html"
"64","bild.de","Bildung","Koalitionsvertrag - Kostenlos-Kita, weniger V-Leute, mehr Lehrer",2014-11-20,11,2014,"http://www.bild.de/politik/inland/thueringen/rot-rot-gruen-stellt-koalitions-vertrag-vor-38643960.bild.html"
"65","bild.de","Bildung","Unterbezahlt trotz Uni - So machen Frauen Karriere",2014-01-20,1,2014,"http://www.bild.de/ratgeber/job-karriere/beruf/akademikerinnen-unterbezahlt-niedrigloehne-tipps-frauen-karriere-34304364.bild.html"
"66","bild.de","Bildung","Sex, GELD, Auto - Der große Ossi-Wessi-Check",2015-07-22,7,2015,"http://www.bild.de/politik/inland/bundesrepublik/umfrage-so-denken-ossis-und-wessis-41887822.bild.html"
"67","bild.de","Bildung","Irre Storys, nützliche Tipps - Wahnsinn Urlaub - und wie man das Beste daraus macht",2016-06-12,6,2016,"http://www.bild.de/bild-plus/reise/2016/urlaub/buch-ferienwahnsinn-urlaubstrauma-45967794.bild.html"
"68","bild.de","Bildung","*** BILDplus Inhalt *** 25 Jahre Einheit - Was uns Deutschen wirklich wichtig ist",2015-10-03,10,2015,"http://www.bild.de/bild-plus/politik/inland/umfrage/was-uns-deutschen-wichtig-ist-42878022.bild.html"
"69","bild.de","Bildung","Abschluss der Kuba-Reise - Obama und Castro gemeinsam beim Baseball",2016-03-22,3,2016,"http://www.bild.de/politik/ausland/barack-obama/obama-bei-baseball-spiel-in-kuba-45039414.bild.html"
"70","bild.de","Bildung","SPD-Fraktionschef in BILD - Wie läuft&apos	s bei der GroKo, Herr Oppermann?",2014-01-19,1,2014,"http://www.bild.de/politik/inland/thomas-oppermann/wie-heiss-ists-im-maschinenraum-der-groko-34308046.bild.html"
"71","bild.de","Bildung","Hinter den Kulissen  -  Das BILD-Protokolldes Koalitions-Pokers",2013-10-04,10,2013,"http://www.bild.de/politik/inland/koalitionsverhandlungen/bild-protokoll-des-koalitions-pokers-32677022.bild.html"
"72","bild.de","Bildung","*** BILDplus Inhalt *** Grünen-Politikerin Löhrmann  -  ’Niemand hat einProblem mit Frau Merkel’",2013-10-06,10,2013,"http://www.bild.de/bild-plus/politik/inland/politik-inland/chancen-fuer-schwarz-gruen-bei-30-prozent-32700090.bild.html"
"73","bild.de","Bildung","Steuer-Zoff bei Jauch - Endlos-Soli ist Betrug am Bürger",2014-12-01,12,2014,"http://www.bild.de/politik/inland/solidaritaetszuschlag/steuer-zoff-talk_bei-guenther-jauch-muss-der-soli-weg-38785884.bild.html"
"74","bild.de","Bildung","’Hat sich nicht gekümmert’ - Laschet teilt wegen Sex-Mob gegen Kraft aus",2016-01-16,1,2016,"http://www.bild.de/regional/duesseldorf/sex-uebergriffe-silvesternacht/laschet-teilt-gegen-kraft-aus-44177778.bild.html"
"75","bild.de","Bildung","BILD-Interview - Ist die Maut gescheitert, Herr Dobrindt?",2014-07-04,7,2014,"http://www.bild.de/bild-plus/politik/inland/alexander-dobrindt/interview-ist-die-maut-gescheitert-herr-verkehrsminister-36681064.bild.html"
"76","bild.de","Bildung","Kein Englisch - Staatssekretärin klagt Lehrermangel an",2014-02-08,2,2014,"http://www.bild.de/politik/inland/schule/seit-vier-monaten-kein-english-unterricht-mehr-34594206.bild.html"
"77","bild.de","Bildung","Krebs-Drama um Steffi - Bitte rettet mein Leben - für meine Tochter",2014-03-03,3,2014,"http://www.bild.de/news/inland/lymphdruesenkrebs/bitte-rettet-mein-leben-34919608.bild.html"
"78","bild.de","Bildung","Schule & Startups - ’Jeder sollte Unternehmer werden können!’",2015-11-27,11,2015,"http://www.bild.de/byou/2015/start-up/schule-und-startups-interview-startup-teens-43556866.bild.html"
"79","bild.de","Bildung","Regierung und Farc einig - ENDLICH Frieden für Kolumbien?",2016-08-25,8,2016,"http://www.bild.de/politik/ausland/bogota/farc-rebellen-und-regierung-schliessen-friedensabkommen-47489062.bild.html"
"80","bild.de","Bildung","Geheimes Strategiepapier - So will die FDP das Wahljahr 2016 anpacken",2016-01-06,1,2016,"http://www.bild.de/politik/inland/fdp/papier-so-packt-fdp-wahljahr-an-44032234.bild.html"
"81","bild.de","Bildung","Syrien-Konferenz - Resolution könnte an Assads Schicksal scheitern",2015-12-18,12,2015,"http://www.bild.de/politik/ausland/syrien-krise/syrien-un-konferenz-knackpunkte-43857538.bild.html"
"82","bild.de","Bildung","BILD-Fakten-Check - Was wollen die PEGIDA-Demonstranten?",2014-12-08,12,2014,"http://www.bild.de/regional/dresden/demonstrationen/pegida-im-fakten-check-38885684.bild.html"
"83","bild.de","Bildung","*** BILDplus Inhalt *** WHO warnt - Diese Seuchen bedrohen Millionen",2016-02-17,2,2016,"http://www.bild.de/bild-plus/news/ausland/krankheiten/vernachlaessigte-krankheiten-chagas-trachom-buruli-ulkus-44480372.bild.html"
"84","bild.de","Bildung","BILD-Test - Hier wird wirklich ALLES simuliert",2016-01-13,1,2016,"http://www.bild.de/regional/ruhrgebiet/ausstellung/in-der-dortmunder-dasa-wird-wirklich-alles-simuliert-44138400.bild.html"
"85","bild.de","Bildung","Christian Lindner - Wie ehrlich machen 3 Prozent?",2015-05-09,5,2015,"http://www.bild.de/politik/inland/christian-lindner/wie-ehrlich-machen-drei-prozent-40876608.bild.html"
"86","bild.de","Bildung","*** BILDplus Inhalt *** Heute 1. US-Vorwahlen - Kann Trump Präsident werden?",2016-01-31,1,2016,"http://www.bild.de/bild-plus/politik/ausland/donald-trump/kann-er-praesident-werden-44380138.bild.html"
"87","bild.de","Bildung","*** BILDplus Inhalt *** Miriam Fernmann überlebte - Die Frau eines SS-Manns hat mich gerettet",2016-11-22,11,2016,"http://www.bild.de/bild-plus/politik/inland/ehrungen/eine-deutsche-rettete-sie-vor-der-ss-48885044.bild.html"
"88","bild.de","Bildung","GroKo  -    Merkel präsentiert ihren ’schwarzen Peter’",2013-12-15,12,2013,"http://www.bild.de/politik/inland/grosse-koalition/das-ist-unsere-neute-bundesregierung-33855788.bild.html"
"89","bild.de","Bildung","Regionalversammlung  -  Kraft gewinntKRAFT-Probe",2013-10-18,10,2013,"http://www.bild.de/politik/inland/hannelore-kraft/schwarz-rot-im-anmarsch-hannelore-kraft-stellt-sich-nrw-genossen-33028946.bild.html"
"90","bild.de","Bildung","*** BILDplus Inhalt *** 10 Thesen - Warum wollen deutsche Frauen keine Babys?",2015-06-20,6,2015,"http://www.bild.de/bild-plus/politik/inland/familie/ist-der-feminismus-schuld-dass-wir-keine-kinder-mehr-bekommen-41437282.bild.html"
"91","bild.de","Bildung","Musst Du lesen! - Die 17 besten Bücher von der Buchmesse",2014-10-07,10,2014,"http://www.bild.de/lifestyle/2014/frankfurt-buchmesse/die-besten-buecher-der-frankfurter-buchmesse-38060880.bild.html"
"92","bild.de","Bildung","Sportmuffel im Abseits  -    Mehr Sex und Liebe für Fitness-Junkies?",2013-12-19,12,2013,"http://www.bild.de/unterhaltung/erotik/partnersuche/umfrage-sportliche-menschen-beim-flirten-bevorzugt-33888828.bild.html"
"93","bild.de","Bildung","*** BILDplus Inhalt *** Peer Steinbrück - »Ich kann Dummbeutel auch wieder so nennen",2015-07-25,7,2015,"http://www.bild.de/bild-plus/politik/inland/peer-steinbrueck/im-bams-interview-41942338.bild.html"
"94","bild.de","Bildung","Flüchtlings-Talk - Fußballer nimmt sich CDU-Mann vor",2016-09-19,9,2016,"http://www.bild.de/politik/inland/hart-aber-fair/wir-haben-es-uns-zu-leicht-gemacht-47904450.bild.html"
"95","bild.de","Bildung","Pharrell Williams - Dieser Mann lässt die Welt tanzen",2014-04-19,4,2014,"http://www.bild.de/unterhaltung/leute/pharrell-williams/dieser-mann-laesst-die-welt-tanzen-35628468.bild.html"
"96","bild.de","Bildung","Neues Reichen-Ranking - Wie aus Millionären Milliardäre werden",2016-06-23,6,2016,"http://www.bild.de/geld/wirtschaft/reich/reiche-branchen-46449630.bild.html"
"97","bild.de","Bildung","*** BILDplus Inhalt *** Neues Buch, neue Thesen - Thilo Sarrazin wettert gegen die Homo-Ehe",2014-02-22,2,2014,"http://www.bild.de/bild-plus/politik/inland/thilo-sarrazin/thilo-sarrazins-im-interview-gegen-homo-ehe-34798714.bild.html"
"98","bild.de","Bildung","Krisen-Talk bei Illner - Sparen wir unser Land kaputt?",2014-10-17,10,2014,"http://www.bild.de/politik/inland/talkshow/krisen-talk-bei-illner-38184638.bild.html"
"99","bild.de","Bildung","’Grüppchen-Bildung’ - Löw spricht über seine EM-Sorgen",2016-05-25,5,2016,"http://www.bild.de/sport/fussball/em-2016/joachim-loew-spricht-ueber-em-sorgen-grueppchenbildung-45966256.bild.html"
"100","bild.de","Bildung","Lummas Netzkolumne - Briten machen uns vor, wie es geht!",2015-03-13,3,2015,"http://www.bild.de/geld/wirtschaft/bbc/verteilt-eine-million-computer-an-schulkinder-40141272.bild.html"
"101","bild.de","Bildung","Herbstgutachten  -  Was bedeutet der Boomfür Jobs, Löhne, Steuern?",2013-10-17,10,2013,"http://www.bild.de/geld/wirtschaft/konjunktur/wirtschaftsforscher-sagen-aufschwung-voraus-33007996.bild.html"
"102","bild.de","Bildung","Boko Haram - Werden die Mädchen zum Morden gedrillt?",2015-06-30,6,2015,"http://www.bild.de/politik/ausland/boko-haram/boko-haram-drillt-entfuehrte-maedchen-zum-morden-41576484.bild.html"
"103","bild.de","Bildung","Frau Bachmayer bloggt - In der Schule blättert der Putz von den Wänden",2016-09-30,9,2016,"http://www.bild.de/ratgeber/job-karriere/lehrer/in-der-schule-blaettert-der-putz-von-den-waenden-48045484.bild.html"
"104","bild.de","Bildung","*** BILDplus Inhalt *** BA-Chef Weise - Gibt es genug Jobs für Flüchtlinge?",2015-09-04,9,2015,"http://www.bild.de/bild-plus/geld/wirtschaft/bundesagentur-fuer-arbeit/gibt-es-genug-jobs-fuer-fluechtlinge-42442658.bild.html"
"105","bild.de","Bildung","*** BILDplus Inhalt *** So regieren die Rocker Mallorca  -    Die Straf-Akte  Hells Angels",2013-11-06,11,2013,"http://www.bild.de/bild-plus/news/inland/hells-angels/straf-akte-mallorca-33289142.bild.html"
"106","bild.de","Bildung","Danke, ’Herz für Kinder’!  -    Für dieses Kinder-Lächeln",2013-12-01,12,2013,"http://www.bild.de/news/einherzfuerkinder/ein-herz-fuer-kinder/eine-seite-voller-kinder-laecheln-33626990.bild.html"
"107","bild.de","Bildung","Die Landkarte des Schreckens",2014-06-30,6,2014,"http://www.bild.de/politik/ausland/isis/kalifat-ausgerufen-die-landkarte-des-schreckens-36602398.bild.html"
"108","bild.de","Bildung","Vizekanzler wird deutlich - Gabriel hält Pegida in Teilen für rechtsradikal",2015-10-20,10,2015,"http://www.bild.de/politik/inland/pegida/gabriel-haelt-pegida-bewegung-in-teilen-fuer-rechtsradikal-43077180.bild.html"
"109","bild.de","Bildung","Europareise - Warum geht es Dänen so gut?",2016-09-10,9,2016,"http://www.bild.de/bild-plus/reise/europa/daenemark/warum-geht-es-daenen-so-gut-47744912.bild.html"
"110","bild.de","Bildung","Griechenland - Geht der Zoff mit den Geldgebern wieder los?",2015-09-21,9,2015,"http://www.bild.de/politik/ausland/athen/geht-jetzt-der-nervenkrieg-weiter-42658826.bild.html"
"111","bild.de","Bildung","Mit Model und Regisseur - Rio feiert Olympia",2016-08-05,8,2016,"http://www.bild.de/sport/olympia/olympia-2016/olympia-eroeffnung-im-live-ticker-47180132.bild.html"
"112","bild.de","Bildung","Laut Verfassungsschutz - ISIS-Terrorist Deso Dogg lebt!",2016-06-15,6,2016,"http://www.bild.de/regional/berlin/isis/deso-dogg-lebt-offenbar-doch-noch-46306818.bild.html"
"113","bild.de","Bildung","Borjans im BILD-Interview - NRW-Finanzminister attackiert Schäuble",2016-12-29,12,2016,"http://www.bild.de/regional/duesseldorf/norbert-walter-borjans/walter-borjans-im-interview-49523090.bild.html"
"114","bild.de","Bildung","+++ BILD-TICKER +++   -    Jetzt geht&apos	s endlich an die Arbeit!",2013-12-17,12,2013,"http://www.bild.de/politik/inland/bundesregierung/merkel-wahl-kanzlerin-minister-bekommen-ernennungsurkunden-liveticker-33884198.bild.html"
"115","bild.de","Bildung","Mehrheit im Senat - Republikaner brauchen nur noch 3 Sitze",2014-11-04,11,2014,"http://www.bild.de/politik/ausland/us-wahlen/laufen-und-erste-wahllokale-schliessen-38435158.bild.html"
"116","bild.de","Bildung","Zehn um Zehn  -  10 Erkältungskiller,die wirklich helfen",2013-10-07,10,2013,"http://www.bild.de/10um10/2013/10-um-10/hitliste-um-zehn-10-erkaeltungskiller-32535242.bild.html"
